collision_index,collision_year,collision_ref_no,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_imd_decile,lsoa_of_casualty,enhanced_casualty_severity,casualty_injury_based,casualty_adjusted_severity_serious,casualty_adjusted_severity_slight,casualty_distance_banding
2024311506202,2024,311506202,1,2,1,1,76,11,3,0,0,0,0,0,9,5,-1,3,1,0,1,5
2024010530576,2024,010530576,2,3,2,1,27,6,3,0,0,2,0,0,9,5,E01001677,3,1,0,1,2
2024101484110,2024,101484110,1,1,1,2,32,6,3,0,0,0,0,0,9,8,E01027549,3,1,0,1,1
2024201517792,2024,201517792,1,1,2,2,22,5,3,0,0,1,0,0,9,1,E01034308,3,1,0,1,2
2024340NN0872,2024,340NN0872,1,1,1,1,91,11,3,0,0,0,0,0,9,6,E01027079,3,1,0.09686,0.90314,1
2024471528037,2024,471528037,2,1,2,1,73,10,3,0,0,1,0,0,9,8,E01020953,3,1,0,1,3
2024552400715,2024,552400715,2,1,1,1,34,6,3,0,0,0,0,0,5,6,E01019954,-1,0,0.10118,0.89882,4
202460Q102751,2024,60Q102751,1,3,2,1,64,9,2,0,0,2,0,0,9,-1,-1,-1,0,1,0,-1
2024010544300,2024,010544300,1,1,3,1,49,8,3,5,3,0,0,0,0,9,E01000773,3,1,0,1,1
2024361484940,2024,361484940,2,2,1,1,32,6,3,0,0,0,0,0,9,7,E01026903,3,1,0,1,1
2024501493618,2024,501493618,2,1,1,2,42,7,3,0,0,0,0,0,9,8,E01015124,3,1,0,1,1
2024991458176,2024,991458176,1,4,2,2,22,5,2,0,0,2,0,0,9,-1,-1,6,1,1,0,-1
2024141436821,2024,141436821,2,1,1,1,17,4,3,0,0,0,0,0,1,2,E01007464,3,1,0,1,1
2024520403105,2024,520403105,2,1,1,1,61,9,3,0,0,0,0,0,1,10,E01029115,-1,0,0.12774,0.87226,1
2024361412439,2024,361412439,2,1,1,2,63,9,2,0,0,0,0,0,9,4,E01026522,6,1,1,0,1
2024311454338,2024,311454338,1,1,1,1,24,5,2,0,0,0,0,0,1,-1,-1,5,1,1,0,-1
2024991520177,2024,991520177,1,1,3,2,22,5,2,5,2,0,0,-1,0,-1,-1,7,1,1,0,-1
2024471436800,2024,471436800,1,1,3,1,33,6,3,6,7,0,0,-1,0,9,E01031642,3,1,0,1,1
2024231484069,2024,231484069,1,1,1,1,68,10,2,0,0,0,0,0,1,6,E01031244,6,1,1,0,2
2024311455543,2024,311455543,1,1,1,1,14,3,3,0,0,0,0,0,1,5,E01028349,3,1,0,1,2
2024311461823,2024,311461823,161,1,1,1,67,10,3,0,0,0,0,0,4,-1,-1,3,1,0,1,-1
2024451436112,2024,451436112,1,1,1,2,64,9,3,0,0,0,0,0,9,8,E01030979,3,1,0,1,2
2024041453619,2024,041453619,1,1,3,2,33,6,2,6,9,0,0,-1,0,2,E01025060,7,1,1,0,1
2024311536292,2024,311536292,1,1,3,1,21,5,3,8,5,0,0,-1,0,-1,-1,3,1,0,1,-1
2024010537287,2024,010537287,1,1,1,1,29,6,3,0,0,0,0,0,3,4,E01000634,3,1,0,1,1
2024440078471,2024,440078471,1,1,2,2,18,4,3,0,0,2,0,0,8,1,E01017236,-1,0,0.01283,0.98717,1
2024131453400,2024,131453400,2,1,1,1,62,9,3,0,0,0,0,0,9,6,E01011156,3,1,0,1,4
